Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS▼,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Shai Gilgeous-Alexander,27,OKC,PG,49,49,1632,31.5,.670,.231,.469,1.9,12.1,7.2,33.8,1.9,2.3,8.1,33.6,8.5,3.0,11.4,.336,9.1,2.7,11.8,5.7,,gilgesh01
2,Nikola Jokić,30,DEN,C,36,36,1237,35.4,.703,.283,.438,10.8,28.4,20.0,52.6,2.0,1.8,14.3,31.0,7.7,1.7,9.4,.363,11.8,3.9,15.7,5.5,,jokicni01
3,Tyrese Maxey,25,PHI,PG,49,49,1903,22.8,.599,.410,.269,0.8,11.2,5.9,30.0,2.5,1.9,9.1,28.9,5.1,2.1,7.2,.182,5.4,0.8,6.2,3.9,,maxeyty01
4,Kevin Durant,37,HOU,SF,47,47,1721,20.7,.629,.315,.339,1.5,14.6,8.0,19.3,1.1,2.2,12.9,27.1,4.4,1.9,6.3,.177,3.9,0.1,4.0,2.6,,duranke01
5,Jimmy Butler,36,GSW,SF,38,38,1182,23.5,.646,.184,.621,8.1,11.5,9.8,24.3,2.2,0.6,9.3,23.2,4.7,1.3,6.0,.244,4.9,0.6,5.5,2.2,,butleji01
6,Luka Dončić,26,LAL,PG,42,42,1492,27.5,.614,.468,.494,2.6,22.6,12.9,41.7,2.0,1.2,13.7,37.8,4.4,1.6,6.0,.193,7.4,0.7,8.1,3.8,,doncilu01
7,Jamal Murray,28,DEN,PG,47,47,1681,22.6,.616,.398,.264,1.3,11.8,6.8,33.4,1.4,1.0,9.9,28.7,5.0,1.0,6.0,.170,5.8,-1.6,4.2,2.6,,murraja01
8,Julius Randle,31,MIN,PF,52,52,1740,19.9,.596,.300,.398,5.4,16.8,11.2,24.5,1.6,0.6,12.4,26.6,3.8,2.1,5.9,.164,2.4,0.1,2.5,2.0,,randlju01
9,Rudy Gobert,33,MIN,C,50,50,1566,17.5,.676,.006,.635,13.3,26.0,19.8,7.1,1.1,4.7,13.7,12.3,3.3,2.6,5.9,.181,0.0,0.9,0.9,1.2,,goberru01
10,Chet Holmgren,23,OKC,PF,45,45,1316,21.5,.655,.313,.341,7.0,23.9,15.9,8.2,0.9,6.8,10.6,22.3,2.8,3.0,5.9,.214,2.3,1.6,3.8,1.9,,holmgch01
