Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,42,42,35.5,10.4,22.0,.473,3.5,10.3,.345,6.9,11.7,.587,.554,8.5,10.9,.781,0.8,7.1,7.8,8.6,1.5,0.5,4.3,2.4,32.8,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,49,49,33.3,10.9,19.7,.554,1.8,4.6,.390,9.1,15.1,.603,.599,8.2,9.2,.892,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,31.8,,gilgesh01
3,Anthony Edwards,24,MIN,SG,42,42,35.5,10.2,20.7,.494,3.4,8.4,.401,6.9,12.3,.557,.575,5.9,7.4,.792,0.6,4.7,5.3,3.7,1.3,0.8,2.7,1.8,29.7,,edwaran01
4,Jaylen Brown,29,BOS,SF,46,46,34.3,10.9,22.5,.486,2.2,5.9,.363,8.8,16.6,.530,.534,5.5,7.0,.775,1.2,5.8,7.0,4.8,1.0,0.4,3.6,2.8,29.5,,brownja02
5,Nikola Jokić,30,DEN,C,36,36,34.4,10.3,17.4,.594,2.1,4.9,.418,8.3,12.5,.664,.653,6.4,7.6,.843,3.1,9.0,12.1,10.5,1.4,0.7,3.5,2.8,29.1,,jokicni01
6,Tyrese Maxey,25,PHI,PG,49,49,38.8,10.1,21.5,.472,3.4,8.8,.384,6.8,12.7,.532,.550,5.1,5.8,.887,0.3,3.8,4.1,6.9,2.0,0.8,2.4,2.2,28.8,,maxeyty01
7,Donovan Mitchell,29,CLE,SG,48,48,33.8,10.0,20.7,.484,3.7,9.7,.381,6.3,11.0,.575,.573,5.0,5.9,.846,0.8,3.8,4.6,5.9,1.5,0.2,3.1,2.4,28.8,,mitchdo01
8,Giannis Antetokounmpo,31,MIL,PF,30,30,29.2,10.5,16.2,.645,0.5,1.3,.395,10.0,15.0,.666,.660,6.5,9.9,.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,,antetgi01
9,Kawhi Leonard,34,LAC,SF,37,37,32.7,9.7,19.5,.497,2.7,7.0,.390,6.9,12.5,.557,.567,5.5,6.0,.914,1.0,5.1,6.1,3.6,2.0,0.6,2.1,1.3,27.6,,leonaka01
10,Jalen Brunson,29,NYK,PG,46,46,34.6,9.7,20.6,.473,3.0,7.8,.381,6.8,12.8,.528,.544,5.0,5.9,.852,0.5,2.8,3.3,6.1,0.7,0.1,2.3,2.4,27.4,,brunsja01
