Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,Player-additional
1,LeBron James,273.6,2003-04,2025-26,19-41,1584,1582,21,59772,15672,30941,13077,23507,2595,7434,8744,11864,1813,10046,11859,11735,2370,1163,5529,2812,42683,.507,.556,.349,.737,.590,.548,F-G,CLELALMIA,jamesle01
2,Kareem Abdul-Jabbar,259.6,1970-71,1988-89,23-41,1478,789,18,53912,14899,26497,14898,26479,1,18,6227,8561,2975,9394,16250,5323,1160,3189,2527,4374,36026,.562,.563,.056,.727,.595,.562,C,LALMIL,abdulka01
3,Karl Malone,234.6,1985-86,2003-04,22-40,1476,1471,14,54852,13528,26210,13443,25900,85,310,9787,13188,3562,11406,14968,5248,2085,1145,4524,4578,36928,.516,.519,.274,.742,.577,.518,F,LALUTA,malonka01
4,Chris Paul,215.2,2005-06,2025-26,20-40,1370,1314,12,45836,8165,17408,6295,12349,1870,5059,4858,5581,798,5208,6006,12552,2728,222,3109,3208,23058,.469,.510,.370,.870,.580,.523,G,GSWHOULACNOHNOKOKCPHOSAS,paulch01
5,Michael Jordan,214.0,1984-85,2002-03,21-39,1072,1039,14,41011,12192,24537,11611,22759,581,1778,7327,8772,1668,5004,6672,5633,2514,893,2924,2783,32292,.497,.510,.327,.835,.569,.509,G-F,CHIWAS,jordami01
6,John Stockton,207.7,1984-85,2002-03,22-40,1504,1300,10,47764,7039,13658,6194,11455,845,2203,4788,5796,966,3085,4051,15806,3265,315,4244,3942,19711,.515,.541,.384,.826,.608,.546,G,UTA,stockjo01
7,Tim Duncan,206.4,1997-98,2015-16,21-39,1392,1389,15,47368,10285,20334,10255,20166,30,168,5896,8468,3859,11232,15091,4225,1025,3020,3381,3304,26496,.506,.509,.179,.696,.551,.507,F-C,SAS,duncati01
8,Dirk Nowitzki,206.3,1998-99,2018-19,20-40,1522,1460,14,51368,11169,23734,9187,18524,1982,5210,7240,8239,1468,10021,11489,3651,1210,1281,2494,3601,31560,.471,.496,.380,.879,.577,.512,F-C,DAL,nowitdi01
9,Kevin Garnett,191.4,1995-96,2015-16,19-39,1462,1425,15,50418,10505,21142,10331,20510,174,632,4887,6190,3209,11453,14662,5445,1859,2037,3179,3561,26071,.497,.504,.275,.789,.546,.501,F-C,BOSBRKMIN,garneke01
10,Shaquille O'Neal,181.7,1992-93,2010-11,20-38,1207,1197,15,41918,11330,19457,11329,19435,1,22,5935,11252,4209,8890,13099,3026,739,2732,3310,4146,28596,.582,.583,.045,.527,.586,.582,C,BOSCLELALMIAORLPHO,onealsh01
