Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,16,16,647,24.4,.615,.425,.334,0.8,11.9,6.3,32.5,1.9,2.0,9.5,30.6,2.2,0.6,2.8,.207,6.6,0.7,7.3,1.5,,maxeyty01
2,Devin Booker,29,PHO,SG,18,18,640,19.3,.592,.301,.416,3.2,9.9,6.5,31.4,1.3,1.0,15.6,30.9,1.3,0.5,1.8,.134,2.6,-1.4,1.1,0.5,,bookede01
3,Trey Murphy III,25,NOP,SF,18,18,636,17.8,.616,.549,.265,4.0,16.7,9.9,13.6,2.4,0.7,11.4,21.7,1.1,0.3,1.4,.103,2.5,-1.0,1.5,0.6,,murphtr02
4,Franz Wagner,24,ORL,SF,18,18,629,19.7,.593,.284,.471,5.4,15.2,10.4,18.1,1.4,1.0,8.9,25.7,1.5,0.7,2.2,.166,2.7,-0.2,2.5,0.7,,wagnefr01
5,Evan Mobley,24,CLE,PF,18,18,615,17.6,.572,.307,.463,7.6,20.3,13.8,16.9,1.5,4.3,14.0,22.9,0.5,1.0,1.5,.114,0.7,1.1,1.9,0.6,,mobleev01
6,Toumani Camara,25,POR,PF,18,18,611,9.6,.523,.604,.122,6.7,10.4,8.4,11.2,1.6,1.5,15.5,15.8,0.1,0.3,0.4,.031,-1.8,-1.0,-2.8,-0.1,,camarto01
7,Deni Avdija,25,POR,SF,18,18,605,19.6,.612,.406,.472,3.7,17.9,10.4,25.4,0.8,1.9,14.7,28.0,1.3,0.4,1.7,.134,4.1,-0.8,3.3,0.8,,avdijde01
8,Lauri Markkanen,28,UTA,PF,17,17,605,21.8,.612,.435,.323,6.9,12.0,9.4,11.0,1.3,1.3,5.5,28.1,1.8,0.1,1.9,.152,5.9,-2.1,3.8,0.9,,markkla01
9,Cooper Flagg,19,DAL,PG,18,18,604,13.1,.527,.280,.236,4.0,15.6,9.9,15.2,1.9,1.6,12.6,21.4,-0.3,1.0,0.7,.056,-2.6,0.8,-1.7,0.0,,flaggco01
10,Brandon Ingram,28,TOR,SF,18,18,602,16.7,.585,.281,.315,2.1,17.1,9.9,17.0,1.5,2.0,13.5,27.1,0.3,0.8,1.1,.090,0.3,-0.3,0.0,0.3,,ingrabr01
11,Shai Gilgeous-Alexander,27,OKC,PG,18,18,595,33.5,.671,.270,.465,2.0,13.8,8.2,35.3,2.2,2.6,6.9,33.7,3.4,1.4,4.8,.388,10.1,3.5,13.6,2.3,,gilgesh01
12,Dyson Daniels,22,ATL,SG,18,18,594,13.2,.514,.142,.154,7.0,13.7,10.4,22.5,3.3,1.2,18.8,15.3,0.2,0.9,1.1,.090,-2.3,2.0,-0.3,0.3,,daniedy01
13,Miles Bridges,27,CHO,PF,17,17,594,17.4,.560,.490,.275,3.5,17.8,10.7,17.0,1.0,1.5,7.0,25.1,1.1,0.2,1.4,.110,2.3,-1.5,0.8,0.4,,bridgmi02
14,Scottie Barnes,24,TOR,PF,18,18,593,20.7,.589,.223,.208,7.1,19.3,13.3,22.4,2.2,5.0,11.5,23.7,1.0,1.1,2.1,.168,2.4,2.3,4.6,1.0,,barnesc01
15,Nikola Jokić,30,DEN,C,17,17,592,36.7,.729,.282,.395,11.3,28.5,20.5,51.6,2.2,2.0,14.6,29.0,4.0,1.1,5.1,.412,12.8,5.4,18.2,3.0,,jokicni01
16,Keyonte George,22,UTA,PG,17,17,589,17.9,.590,.408,.419,1.8,11.2,6.4,33.0,1.4,0.7,14.3,27.0,1.1,0.1,1.2,.098,2.4,-1.7,0.7,0.4,,georgke01
17,DeMar DeRozan,36,SAC,PF,18,18,588,17.3,.601,.151,.403,1.9,9.1,5.4,16.8,1.8,0.5,6.7,21.7,1.1,0.1,1.3,.104,0.6,-0.7,-0.1,0.3,,derozde01
18,Desmond Bane,27,ORL,SG,18,18,586,13.9,.552,.345,.263,4.1,11.2,7.7,21.2,1.1,0.7,12.6,23.4,0.5,0.5,1.0,.084,-0.6,-0.9,-1.4,0.1,,banede01
19,Donovan Mitchell,29,CLE,SG,17,17,578,24.4,.643,.506,.327,2.6,12.9,7.6,28.3,2.0,0.9,12.2,32.2,1.6,0.7,2.3,.190,6.6,0.5,7.1,1.3,,mitchdo01
20,Immanuel Quickley,26,TOR,PG,18,18,571,16.3,.589,.535,.207,1.6,15.0,8.5,25.7,2.0,0.2,10.9,19.7,0.9,0.8,1.7,.143,1.5,0.6,2.1,0.6,,quickim01
21,Kon Knueppel,20,CHO,SF,17,16,571,16.0,.654,.615,.171,3.8,16.0,9.9,13.4,1.1,0.6,14.0,21.3,0.9,0.2,1.1,.094,2.4,-1.6,0.8,0.4,,knuepko01
22,Ryan Rollins,23,MIL,PG,18,17,569,17.7,.597,.391,.160,3.0,11.4,7.2,28.3,2.4,0.8,14.6,24.6,0.7,0.4,1.2,.098,1.3,-0.7,0.6,0.4,,rolliry01
23,Julius Randle,31,MIN,PF,17,17,569,23.0,.632,.309,.452,4.9,19.0,12.2,27.0,1.6,0.5,12.6,27.5,1.7,0.8,2.5,.209,4.5,0.3,4.8,1.0,,randlju01
24,Max Christie,22,DAL,SG,19,16,568,12.3,.660,.621,.201,0.4,11.8,6.1,11.4,0.8,1.4,11.5,15.3,0.6,0.7,1.3,.109,-0.4,0.4,0.0,0.3,,chrisma02
25,James Harden,36,LAC,PG,16,16,568,25.0,.643,.561,.488,2.1,16.3,9.3,40.3,1.4,1.2,14.8,31.5,1.9,0.3,2.2,.186,7.4,-0.6,6.7,1.2,,hardeja01
26,P.J. Washington,27,DAL,PF,18,18,567,12.8,.529,.363,.316,4.2,20.9,12.7,12.0,1.4,3.2,15.0,23.1,-0.6,1.0,0.4,.035,-2.5,0.9,-1.6,0.1,,washipj01
27,Mikal Bridges,29,NYK,SF,16,16,563,18.7,.629,.472,.161,3.5,11.1,7.1,18.5,2.8,3.5,7.6,16.4,1.4,0.7,2.2,.186,3.3,2.2,5.5,1.1,,bridgmi01
28,Derrick White,31,BOS,SG,17,17,562,14.9,.474,.557,.180,2.9,10.3,6.5,21.8,2.6,3.9,7.7,22.7,0.3,0.7,1.0,.089,0.6,1.1,1.6,0.5,,whitede01
29,Jamal Murray,28,DEN,PG,16,16,562,20.0,.596,.403,.226,1.5,12.4,7.3,28.0,1.6,0.8,10.6,26.3,1.3,0.6,1.9,.164,3.6,-0.8,2.8,0.7,,murraja01
30,Pascal Siakam,31,IND,PF,16,16,562,19.2,.565,.290,.444,4.3,17.5,10.5,25.0,1.6,1.3,10.3,28.3,0.7,0.4,1.1,.091,3.1,-0.6,2.5,0.6,,siakapa01
31,VJ Edgecombe,20,PHI,SG,15,15,560,11.7,.503,.380,.176,6.0,11.8,8.8,16.0,1.6,1.1,11.1,19.5,0.1,0.5,0.6,.053,-1.8,-0.5,-2.3,0.0,,edgecvj01
32,Jaylen Brown,29,BOS,SF,17,17,551,22.1,.590,.271,.305,3.1,15.7,9.3,23.6,1.4,0.9,12.4,35.7,0.9,0.6,1.4,.124,3.6,-0.8,2.8,0.7,,brownja02
33,Payton Pritchard,28,BOS,PG,17,17,551,16.5,.569,.580,.173,3.5,10.9,7.2,22.5,1.2,0.0,8.5,21.1,1.2,0.4,1.6,.138,1.8,-0.9,0.9,0.4,,pritcpa01
34,Alperen Şengün,23,HOU,C,15,15,551,21.3,.576,.174,.409,9.2,20.2,14.8,28.5,1.5,2.5,15.4,25.8,1.3,0.8,2.1,.187,4.3,1.5,5.8,1.0,,sengual01
35,Rudy Gobert,33,MIN,C,17,17,550,15.5,.704,.000,.524,12.5,21.8,17.3,7.1,0.7,4.7,19.9,12.3,0.9,0.8,1.7,.149,-1.1,0.4,-0.7,0.2,,goberru01
36,Jaime Jaquez Jr.,24,MIA,SF,18,0,548,16.4,.580,.133,.301,4.6,16.0,10.6,25.0,1.0,0.7,13.2,21.7,0.7,0.7,1.5,.128,0.4,1.0,1.4,0.5,,jaqueja01
37,Amen Thompson,23,HOU,SF,15,15,547,16.9,.548,.151,.284,7.6,12.1,9.9,20.1,2.0,1.3,12.5,21.2,1.0,0.7,1.6,.144,1.0,0.5,1.5,0.5,,thompam01
38,Jalen Johnson,24,ATL,SF,16,16,546,23.3,.646,.219,.331,3.5,27.3,15.6,31.7,2.4,0.8,14.8,25.4,1.3,1.0,2.2,.197,3.9,1.9,5.8,1.1,,johnsja05
39,Duncan Robinson,31,DET,SF,17,17,544,11.4,.632,.790,.178,1.6,8.1,5.0,7.6,1.4,0.9,6.6,13.7,0.9,0.6,1.4,.127,-0.2,-0.2,-0.4,0.2,,robindu01
40,Davion Mitchell,27,MIA,PG,18,18,542,13.2,.585,.345,.207,1.6,7.8,4.8,30.6,1.9,0.2,14.6,13.8,0.9,0.7,1.5,.134,-1.0,1.4,0.4,0.3,,mitchda01
41,Royce O'Neale,32,PHO,SF,18,14,542,12.1,.622,.815,.062,3.3,16.5,9.9,12.0,1.8,0.5,13.5,14.8,0.6,0.6,1.3,.112,0.3,0.2,0.6,0.4,,onealro01
42,Myles Turner,29,MIL,C,18,18,540,14.4,.579,.602,.216,4.6,20.4,12.5,7.9,1.8,5.7,10.7,17.4,0.3,0.7,0.9,.084,-0.5,0.4,-0.1,0.3,,turnemy01
43,Zach LaVine,30,SAC,SG,16,16,536,14.4,.632,.485,.238,0.6,10.8,5.6,10.2,1.0,0.3,11.9,23.4,0.4,0.0,0.4,.037,0.4,-2.4,-2.0,0.0,,lavinza01
44,Ivica Zubac,28,LAC,C,17,17,535,21.5,.642,.000,.209,13.4,28.8,21.2,13.0,0.7,2.7,12.8,21.2,1.2,0.4,1.6,.147,2.1,-1.2,0.9,0.4,,zubaciv01
45,Karl-Anthony Towns,30,NYK,C,16,16,535,21.5,.589,.357,.434,9.7,32.3,20.4,14.9,1.4,2.7,12.0,27.0,1.2,0.8,2.0,.176,2.5,0.0,2.4,0.6,,townska01
46,Brandin Podziemski,22,GSW,SG,19,8,534,12.9,.565,.489,.269,2.0,16.2,9.0,15.3,2.1,0.9,10.5,17.9,0.4,0.7,1.1,.096,-1.5,0.6,-0.8,0.2,,podzibr01
47,Jimmy Butler,36,GSW,SF,17,17,532,24.5,.662,.167,.667,8.0,12.0,10.0,25.0,2.6,0.9,8.9,22.2,2.3,0.7,2.9,.263,5.0,1.1,6.1,1.1,,butleji01
