day,date,day_of_week,player_slot,rank,player,team,final_score,bpm
1,2025-11-21,Friday,1,1,Victor Wembanyama,SAS,20.855302084036133,6.4
1,2025-11-21,Friday,2,3,Paul Reed,DET,19.949528239888934,6.0
1,2025-11-21,Friday,3,10,Kristaps Porziņģis,ATL,18.59053524617888,5.0
1,2025-11-21,Friday,4,5,Nikola Jokić,DEN,19.41913687726665,18.2
1,2025-11-21,Friday,5,17,Tyrese Maxey,PHI,16.96123774679348,7.3
2,2025-11-22,Saturday,1,9,Robert Williams,POR,18.64237517845424,3.8
2,2025-11-22,Saturday,2,8,Isaiah Stewart,DET,18.72624616740555,1.1
2,2025-11-22,Saturday,3,16,Derrick White,BOS,17.01403249496697,1.6
2,2025-11-22,Saturday,4,1,Victor Wembanyama,SAS,20.855302084036133,6.4
2,2025-11-22,Saturday,5,6,Luka Dončić,LAL,18.88361703282677,9.4
3,2025-11-23,Sunday,1,2,Shai Gilgeous-Alexander,OKC,20.2990001377179,13.6
3,2025-11-23,Sunday,2,12,Branden Carlson,OKC,17.985146088630653,0.0
3,2025-11-23,Sunday,3,9,Robert Williams,POR,18.64237517845424,3.8
3,2025-11-23,Sunday,4,7,Scottie Barnes,TOR,18.83137383003519,4.6
3,2025-11-23,Sunday,5,4,Giannis Antetokounmpo,MIL,19.8826453771736,11.3
4,2025-11-24,Monday,1,15,Stephen Curry,GSW,17.266663146952833,6.5
4,2025-11-24,Monday,2,25,Daniel Gafford,DAL,15.982554148476463,0.8
4,2025-11-24,Monday,3,23,Cade Cunningham,DET,16.12545893379315,3.9
4,2025-11-24,Monday,4,28,Donovan Mitchell,CLE,15.594985171410332,7.1
4,2025-11-24,Monday,5,3,Paul Reed,DET,19.949528239888934,6.0
5,2025-11-25,Tuesday,1,24,Jonas Valančiūnas,DEN,16.0481349433251,-0.7
5,2025-11-25,Tuesday,2,11,Alex Sarr,WAS,18.46827693830453,1.5
5,2025-11-25,Tuesday,3,29,Jalen Duren,DET,15.46597467248986,4.1
5,2025-11-25,Tuesday,4,21,Ryan Kalkbrenner,CHO,16.46840704676936,0.5
5,2025-11-25,Tuesday,5,7,Scottie Barnes,TOR,18.83137383003519,4.6
6,2025-11-26,Wednesday,1,30,Jalen Suggs,ORL,15.293581373786742,3.8
6,2025-11-26,Wednesday,2,6,Luka Dončić,LAL,18.88361703282677,9.4
6,2025-11-26,Wednesday,3,18,Goga Bitadze,ORL,16.758229551842177,5.2
6,2025-11-26,Wednesday,4,14,Chet Holmgren,OKC,17.59182005848814,2.8
6,2025-11-26,Wednesday,5,5,Nikola Jokić,DEN,19.41913687726665,18.2
7,2025-11-27,Thursday,1,19,Myles Turner,MIL,16.6961827181324,-0.1
7,2025-11-27,Thursday,2,22,Evan Mobley,CLE,16.28042764591673,1.9
7,2025-11-27,Thursday,3,2,Shai Gilgeous-Alexander,OKC,20.2990001377179,13.6
7,2025-11-27,Thursday,4,13,Anthony Edwards,MIN,17.745369218646264,5.7
7,2025-11-27,Thursday,5,8,Isaiah Stewart,DET,18.72624616740555,1.1
8,2025-11-28,Friday,1,10,Kristaps Porziņģis,ATL,18.59053524617888,5.0
8,2025-11-28,Friday,2,3,Paul Reed,DET,19.949528239888934,6.0
8,2025-11-28,Friday,3,21,Ryan Kalkbrenner,CHO,16.46840704676936,0.5
8,2025-11-28,Friday,4,31,Donovan Clingan,POR,15.248145541471892,1.4
8,2025-11-28,Friday,5,9,Robert Williams,POR,18.64237517845424,3.8
9,2025-11-29,Saturday,1,10,Kristaps Porziņģis,ATL,18.59053524617888,5.0
9,2025-11-29,Saturday,2,19,Myles Turner,MIL,16.6961827181324,-0.1
9,2025-11-29,Saturday,3,4,Giannis Antetokounmpo,MIL,19.8826453771736,11.3
9,2025-11-29,Saturday,4,27,Mikal Bridges,NYK,15.614469909348534,5.5
9,2025-11-29,Saturday,5,22,Evan Mobley,CLE,16.28042764591673,1.9
10,2025-11-30,Sunday,1,20,Kel'el Ware,MIA,16.586578064671002,2.4
10,2025-11-30,Sunday,2,39,Ausar Thompson,DET,14.12010847642466,1.4
10,2025-11-30,Sunday,3,28,Donovan Mitchell,CLE,15.594985171410332,7.1
10,2025-11-30,Sunday,4,17,Tyrese Maxey,PHI,16.96123774679348,7.3
10,2025-11-30,Sunday,5,1,Victor Wembanyama,SAS,20.855302084036133,6.4
11,2025-12-01,Monday,1,4,Giannis Antetokounmpo,MIL,19.8826453771736,11.3
11,2025-12-01,Monday,2,25,Daniel Gafford,DAL,15.982554148476463,0.8
11,2025-12-01,Monday,3,6,Luka Dončić,LAL,18.88361703282677,9.4
11,2025-12-01,Monday,4,49,Dillon Brooks,PHO,13.419430251690171,0.0
11,2025-12-01,Monday,5,13,Anthony Edwards,MIN,17.745369218646264,5.7
12,2025-12-02,Tuesday,1,23,Cade Cunningham,DET,16.12545893379315,3.9
12,2025-12-02,Tuesday,2,7,Scottie Barnes,TOR,18.83137383003519,4.6
12,2025-12-02,Tuesday,3,24,Jonas Valančiūnas,DEN,16.0481349433251,-0.7
12,2025-12-02,Tuesday,4,33,Alperen Şengün,HOU,14.876654699302646,5.8
12,2025-12-02,Tuesday,5,64,Jalen Smith,CHI,12.09417581144434,1.0
13,2025-12-03,Wednesday,1,16,Derrick White,BOS,17.01403249496697,1.6
13,2025-12-03,Wednesday,2,29,Jalen Duren,DET,15.46597467248986,4.1
13,2025-12-03,Wednesday,3,38,Nic Claxton,BRK,14.260940250658692,2.5
13,2025-12-03,Wednesday,4,65,Deni Avdija,POR,12.024561421808032,3.3
13,2025-12-03,Wednesday,5,56,Peyton Watson,DEN,12.575402261311496,-0.2
14,2025-12-04,Thursday,1,46,Paolo Banchero,ORL,13.654644489304928,2.5
14,2025-12-04,Thursday,2,26,Neemias Queta,BOS,15.793403919551633,1.5
14,2025-12-04,Thursday,3,11,Alex Sarr,WAS,18.46827693830453,1.5
